logTime,군서배수지_유량,hour,weekday,is_holiday,is_weekend
2018-01-17 16:00:00,55,16,2,False,False
2018-01-17 17:00:00,61,17,2,False,False
2018-01-17 18:00:00,54,18,2,False,False
2018-01-17 19:00:00,51,19,2,False,False
2018-01-17 20:00:00,47,20,2,False,False
2018-01-17 21:00:00,49,21,2,False,False
2018-01-17 22:00:00,46,22,2,False,False
2018-01-17 23:00:00,39,23,2,False,False
2018-01-18 00:00:00,37,0,3,False,False
2018-01-18 01:00:00,36,1,3,False,False
2018-01-18 02:00:00,35,2,3,False,False
2018-01-18 03:00:00,37,3,3,False,False
2018-01-18 04:00:00,37,4,3,False,False
2018-01-18 05:00:00,38,5,3,False,False
2018-01-18 06:00:00,45,6,3,False,False
2018-01-18 07:00:00,59,7,3,False,False
2018-01-18 08:00:00,64,8,3,False,False
2018-01-18 09:00:00,69,9,3,False,False
2018-01-18 10:00:00,63,10,3,False,False
2018-01-18 11:00:00,60,11,3,False,False
2018-01-18 12:00:00,63,12,3,False,False
2018-01-18 13:00:00,52,13,3,False,False
2018-01-18 14:00:00,55,14,3,False,False
2018-01-18 15:00:00,53,15,3,False,False
2018-01-18 16:00:00,54,16,3,False,False
2018-01-18 17:00:00,55,17,3,False,False
2018-01-18 18:00:00,55,18,3,False,False
2018-01-18 19:00:00,50,19,3,False,False
2018-01-18 20:00:00,41,20,3,False,False
2018-01-18 21:00:00,43,21,3,False,False
2018-01-18 22:00:00,39,22,3,False,False
2018-01-18 23:00:00,37,23,3,False,False
2018-01-19 00:00:00,35,0,4,False,False
2018-01-19 01:00:00,33,1,4,False,False
2018-01-19 02:00:00,33,2,4,False,False
2018-01-19 03:00:00,34,3,4,False,False
2018-01-19 04:00:00,38,4,4,False,False
2018-01-19 05:00:00,39,5,4,False,False
2018-01-19 06:00:00,43,6,4,False,False
2018-01-19 07:00:00,63,7,4,False,False
2018-01-19 08:00:00,67,8,4,False,False
2018-01-19 09:00:00,66,9,4,False,False
2018-01-19 10:00:00,66,10,4,False,False
2018-01-19 11:00:00,66,11,4,False,False
2018-01-19 12:00:00,64,12,4,False,False
2018-01-19 13:00:00,62,13,4,False,False
2018-01-19 14:00:00,58,14,4,False,False
2018-01-19 15:00:00,60,15,4,False,False
2018-01-19 16:00:00,53,16,4,False,False
2018-01-19 17:00:00,56,17,4,False,False
2018-01-19 18:00:00,57,18,4,False,False
2018-01-19 19:00:00,50,19,4,False,False
2018-01-19 20:00:00,45,20,4,False,False
2018-01-19 21:00:00,45,21,4,False,False
2018-01-19 22:00:00,42,22,4,False,False
2018-01-19 23:00:00,37,23,4,False,False
2018-01-20 00:00:00,36,0,5,False,True
2018-01-20 01:00:00,33,1,5,False,True
2018-01-20 02:00:00,32,2,5,False,True
2018-01-20 03:00:00,32,3,5,False,True
2018-01-20 04:00:00,33,4,5,False,True
2018-01-20 05:00:00,35,5,5,False,True
2018-01-20 06:00:00,39,6,5,False,True
2018-01-20 07:00:00,48,7,5,False,True
2018-01-20 08:00:00,54,8,5,False,True
2018-01-20 09:00:00,54,9,5,False,True
2018-01-20 10:00:00,50,10,5,False,True
2018-01-20 11:00:00,48,11,5,False,True
2018-01-20 12:00:00,48,12,5,False,True
2018-01-20 13:00:00,47,13,5,False,True
2018-01-20 14:00:00,42,14,5,False,True
2018-01-20 15:00:00,43,15,5,False,True
2018-01-20 16:00:00,49,16,5,False,True
2018-01-20 17:00:00,50,17,5,False,True
2018-01-20 18:00:00,52,18,5,False,True
2018-01-20 19:00:00,50,19,5,False,True
2018-01-20 20:00:00,45,20,5,False,True
2018-01-20 21:00:00,44,21,5,False,True
2018-01-20 22:00:00,41,22,5,False,True
2018-01-20 23:00:00,38,23,5,False,True
2018-01-21 00:00:00,36,0,6,False,True
2018-01-21 01:00:00,33,1,6,False,True
2018-01-21 02:00:00,33,2,6,False,True
2018-01-21 03:00:00,33,3,6,False,True
2018-01-21 04:00:00,33,4,6,False,True
2018-01-21 05:00:00,35,5,6,False,True
2018-01-21 06:00:00,38,6,6,False,True
