logTime,경기동남권_광역 성남 공도(배) 유출 유량 적산차,경기동남권_광역 성남 원곡(배) 유출 유량 적산차,hour,weekday,is_weekend,is_holiday
2020-01-13 17:00:00,392.0,723.0,17,0,False,False
2020-01-13 18:00:00,274.0,489.0,18,0,False,False
2020-01-13 19:00:00,306.0,402.0,19,0,False,False
2020-01-13 20:00:00,174.0,341.0,20,0,False,False
2020-01-13 21:00:00,370.0,403.0,21,0,False,False
2020-01-13 22:00:00,304.0,377.0,22,0,False,False
2020-01-13 23:00:00,228.0,300.0,23,0,False,False
2020-01-14 00:00:00,264.0,309.0,0,1,False,False
2020-01-14 01:00:00,326.0,239.0,1,1,False,False
2020-01-14 02:00:00,176.0,177.0,2,1,False,False
2020-01-14 03:00:00,0.0,147.0,3,1,False,False
2020-01-14 04:00:00,0.0,147.0,4,1,False,False
2020-01-14 05:00:00,0.0,184.0,5,1,False,False
2020-01-14 06:00:00,2.0,424.0,6,1,False,False
2020-01-14 07:00:00,56.0,242.0,7,1,False,False
2020-01-14 08:00:00,48.0,413.0,8,1,False,False
2020-01-14 09:00:00,90.0,660.0,9,1,False,False
2020-01-14 10:00:00,146.0,466.0,10,1,False,False
2020-01-14 11:00:00,160.0,374.0,11,1,False,False
2020-01-14 12:00:00,352.0,378.0,12,1,False,False
2020-01-14 13:00:00,240.0,375.0,13,1,False,False
2020-01-14 14:00:00,264.0,335.0,14,1,False,False
2020-01-14 15:00:00,152.0,370.0,15,1,False,False
2020-01-14 16:00:00,138.0,357.0,16,1,False,False
2020-01-14 17:00:00,218.0,396.0,17,1,False,False
2020-01-14 18:00:00,246.0,580.0,18,1,False,False
2020-01-14 19:00:00,70.0,488.0,19,1,False,False
2020-01-14 20:00:00,178.0,396.0,20,1,False,False
2020-01-14 21:00:00,128.0,426.0,21,1,False,False
2020-01-14 22:00:00,330.0,493.0,22,1,False,False
2020-01-14 23:00:00,400.0,437.0,23,1,False,False
